Country,Clicks,Impressions,CTR,Position
Zimbabwe,0,399,0%,37.3
Botswana,0,382,0%,44.97
Burkina Faso,0,382,0%,48.78
Antigua & Barbuda,0,334,0%,47.33
Gibraltar,0,328,0%,36.06
Maldives,0,313,0%,41.4
Mozambique,0,295,0%,39.29
Aruba,0,267,0%,46.13
Tokelau,0,253,0%,29.26
Fiji,0,252,0%,42.69
British Virgin Islands,0,251,0%,45.37
Mali,0,249,0%,48.45
Curaçao,0,237,0%,45.43
Tajikistan,0,204,0%,45.53
Réunion,0,195,0%,42.92
Dominica,0,193,0%,42.45
Malawi,0,184,0%,49.54
Macau,0,176,0%,40.05
Turks & Caicos Islands,0,170,0%,45.28
Cuba,0,147,0%,27.12
Western Sahara,0,132,0%,50.52
Haiti,0,120,0%,34.63
Turkmenistan,0,86,0%,57.29
Guernsey,0,81,0%,52.78
French Guiana,0,72,0%,43.01
Gambia,0,71,0%,43.37
Martinique,0,69,0%,51.28
Lesotho,0,60,0%,38.45
Bhutan,0,57,0%,33.95
Swaziland,0,50,0%,42.96
Sudan,0,48,0%,28.9
Guinea,0,45,0%,38.2
New Caledonia,0,44,0%,43.82
Burundi,0,40,0%,39.25
South Sudan,0,39,0%,37.87
Caribbean Netherlands,0,37,0%,46.38
Faroe Islands,0,31,0%,48.06
St. Martin,0,30,0%,51.13
French Polynesia,0,29,0%,34.28
Niger,0,29,0%,50.45
San Marino,0,27,0%,31.74
Mayotte,0,26,0%,43.27
American Samoa,0,22,0%,41.41
Djibouti,0,19,0%,22.89
Liechtenstein,0,18,0%,36.11
Montserrat,0,16,0%,52.81
Monaco,0,15,0%,32.8
Greenland,0,15,0%,50.2
Equatorial Guinea,0,14,0%,44.5
Micronesia,0,14,0%,46.14
Tuvalu,0,13,0%,12.08
Chad,0,13,0%,33.85
Tonga,0,13,0%,37
Samoa,0,9,0%,35.22
St. Helena,0,9,0%,50.22
North Korea,0,8,0%,3.38
Marshall Islands,0,8,0%,27.88
Guinea-Bissau,0,8,0%,43.75
São Tomé & Príncipe,0,8,0%,51.12
Åland Islands,0,8,0%,69
Nauru,0,7,0%,7.29
Cook Islands,0,7,0%,30.14
Northern Mariana Islands,0,7,0%,67
Central African Republic,0,6,0%,26
Solomon Islands,0,6,0%,30.17
Kiribati,0,4,0%,13.5
Comoros,0,4,0%,19.75
Palau,0,3,0%,14
Falkland Islands (Islas Malvinas),0,2,0%,27
St. Barthélemy,0,2,0%,41
Svalbard & Jan Mayen,0,2,0%,93.5
British Indian Ocean Territory,0,1,0%,14
Eritrea,0,1,0%,78
